cluster,rank,label,count,share,cluster_size
144,2,Laminator Pouches,36,0.023872679045092837,1508
144,3,Paper Shredders,20,0.013262599469496022,1508
184,1,Notebook Parts & Accessories,1506,1.0,1506
86,1,Signage Displays,1380,0.9181636726546906,1503
86,2,Touch Screen Overlays,55,0.036593479707252165,1503
86,3,Flat Panel Wall Mounts,29,0.01929474384564205,1503
70,1,Chassis Components,1454,0.9732262382864793,1494
70,2,Patch Panels,11,0.007362784471218206,1494
70,3,System Components,6,0.004016064257028112,1494
75,1,Chassis Components,1197,0.8028169014084507,1491
75,2,Notebook Parts & Accessories,263,0.17639168343393696,1491
75,3,Internal Power Cables,17,0.011401743796109993,1491
149,1,Notebooks,1491,1.0,1491
88,1,Notebooks,1474,0.9993220338983051,1475
88,2,All-in-One PCs/Workstations,1,0.0006779661016949153,1475
61,1,System Components,1175,0.7971506105834464,1474
61,2,Chassis Components,151,0.10244233378561737,1474
61,3,Data Storage Devices,22,0.014925373134328358,1474
69,1,Network Switches,1233,0.8404907975460123,1467
69,2,Network Switch Components,59,0.04021813224267212,1467
69,3,System Components,53,0.03612815269256987,1467
211,1,Notebook Parts & Accessories,1465,1.0,1465
137,1,System Components,1376,0.9405331510594669,1463
137,2,Data Storage Devices,86,0.05878332194121668,1463
137,3,Embedded Computers,1,0.000683526999316473,1463
160,1,PCs/Workstations,1439,0.9910468319559229,1452
160,2,Notebooks,6,0.004132231404958678,1452
160,3,PC/Workstation Barebones,3,0.002066115702479339,1452
87,1,Keyboards,1027,0.7087646652864045,1449
87,2,Notebook Parts & Accessories,186,0.12836438923395446,1449
87,3,Mouse Pads,129,0.08902691511387163,1449
177,1,Notebook Parts & Accessories,1405,0.9770514603616134,1438
177,2,Tablet Spare Parts,23,0.015994436717663423,1438
177,3,Chassis Components,5,0.0034770514603616135,1438
82,1,Audio Cables,381,0.2651356993736952,1437
82,2,Cable Interface/Gender Adapters,207,0.1440501043841336,1437
82,3,Video Cable Adapters,121,0.08420320111343076,1437
141,1,Notebook Parts & Accessories,1431,0.997907949790795,1434
141,2,Flat Panel Spare Parts,2,0.001394700139470014,1434
141,3,Chassis Components,1,0.000697350069735007,1434
92,1,Notebook Parts & Accessories,1407,0.9818562456385206,1433
92,2,Chassis Components,11,0.007676203768318213,1433
92,3,Flat Panel Spare Parts,7,0.004884856943475227,1433
98,1,Notebook Parts & Accessories,1416,0.9929873772791024,1426
98,2,Interface Components,2,0.001402524544179523,1426
98,3,Tablet Cases,2,0.001402524544179523,1426
81,1,Printing Supplies,1411,0.9957657021877205,1417
81,2,Camera Accessories,2,0.0014114326040931546,1417
81,3,Printing Media,1,0.0007057163020465773,1417
126,1,Software Licenses/Upgrades,1310,0.9244883556810163,1417
126,2,Warranty & Support Extensions,92,0.06492589978828511,1417
126,3,Maintenance & Support Fees,6,0.004234297812279464,1417
103,1,Printing Supplies,1411,1.0,1411
104,1,PCs/Workstations,961,0.6869192280200143,1399
